Name,Url,Authority,Started On,Finished On,License Number
Introduction to Solid Edge,https://www.coursera.org/account/accomplishments/records/LOHEYDJD873V,Siemens,Oct 2024,,LOHEYDJD873V
Workshop on Self Driving Car,,SAEINDIA Southern Section,Sep 2024,,
Fundamentals of Python Programming,,Saintgits College of Engineering (Autonomous),Aug 2023,,
Robotics BootCamp and Arduino Based Hackathon ,,TRS ASIET student chapter,Sep 2023,,
MSIGMA - IEEE TechBurst 2K24 Project Presentation,,Msigma Gokulam,Jun 2024,,
IEDC BootCamp ,,Saintgits IEDC,Feb 2024,,
IEDC IPL 3.0,,Saintgits IEDC,Apr 2024,,
Robotics WorkShop ,,"Indian Institute of Technology, Palakkad",Jan 2024,,
IEEE Hackathon - Magnathon 2.0,,College of Engineering Vadakara - India,Apr 2024,,
3D printing WorkShop ,,"MES KEVEEYAM COLLEGE, VALANCHERI",Jan 2024,,
Deep Learning Master Class,,TensorFlow User Group (TFUG),Dec 2023,,TFTCRDL504
1st year Srishti Certifications,,Saintgits College of Engineering (Autonomous),Feb 2024,,
Sparky Direct 2.0 ,,IEEE SAINTGITS SB,Mar 2024,,
IEEE Membership Certificate ,,IEEE,Jan 2025,Dec 2025,
Introduction to Internet Of Things ,,NPTEL,May 2025,,
Aspire Leaders Program ,,Aspire Institute,May 2025,,
TEDx,,TEDx SaintGits,Jan 2025,,
ABaja 2025,,BAJA SAEINDIA,Oct 2025,,
