Date,Link,Message
2026-01-20 05:49:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7417029602180640768,"Muhammad Luqman Thank You,"
2026-01-20 05:49:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7417029602180640768,Prasoon Kumar Thank you
2026-01-20 05:48:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7417029602180640768,"Yaseen Mohammad Rehman The software stack ROS 2 Humble and NVIDIA Isaac Sim is free to use as well as the nova carter robot, I just tweaked some of the properties in rendering and the bot nothing more. but I highly recommend checking out the NVIDIA DLI Robotics Fundamentals course. It covers the exact workflow I used to build this and a great start."
2026-01-20 05:47:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7417029602180640768,Scientist G Thank you
2026-01-20 05:46:46,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7417029602180640768,"Mohan Srinivas P. This specific scene is actually built using standard USD assets with meshes and materials rendered with NVIDIA RTX real-time ray tracing. the fidelity does look close to what we see with Splats and all Isaac Sim does support importing NeRFs or Gaussian Splats through extensions to explore creating custom environments but I have no need for that as of now, so yet to try."
2026-01-12 00:04:05,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7416046533403394048,Great work. which depth model did you used to get the heat map or was it a direct input to the system from a depth camera.
2026-01-08 13:14:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414855605162704896,"Great, will use it indeed."
2026-01-08 13:12:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7411487019018907648,Muhammad Afaq Thanks 😊
2026-01-08 13:08:25,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7414515009160052737,Scientist G Ofcourse. Excited to work with you on this project.
2026-01-07 05:03:51,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7414354379597754368,This is great 👍
2026-01-04 15:03:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7413583676032155648,"I have seen a lot of movies, this is how it begins 😱. 😅"
2026-01-04 12:08:27,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7411487019018907648,Hassan Ramadan ThankYou
2026-01-03 04:20:22,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7412894151459074048,"Great, so how is the performance, like the GPU and RAM usage as well as CPU overhead?"
2026-01-02 18:08:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7412849865782829056,Congratulations! 🎉
2025-12-30 06:27:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"Vedant Choudhary You are always welcome, a good project should always go noticed. And indeed there are some new ideas like ROS1 support or a bridge, and some gaps on IMU and all. Will be waiting for the next version."
2025-12-30 06:23:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,Yug Prajapati Thanks to the Creator and maintainer of the repo Vedant Choudhary.
2025-12-29 15:40:17,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,Charifou OROU MOUSSE ofc.
2025-12-29 15:39:20,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"Mohamed Youness As of now, I haven't seen any ROS1 branch in this repo, and got no idea of any bridge. Hmm, thats a good thing btw, lemme look into it."
2025-12-29 05:50:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"Seyed Mohammadhadi Rahavi Its just a plug and play method, with no need of installing external applications and all, with almost a low latency output and as a ROS2 msg itslef."
2025-12-29 05:49:14,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"Armin Mehrvar Yup, I have already made a pipeline to plug and play in to YOLO model via ROS2 and at the time it was a simple object classification using simple Coco set pretrained YOLO V5n model."
2025-12-29 05:47:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,Aditya R Jemshetty Exactly 💯
2025-12-28 15:26:05,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,Hassan Ramadan Thanks to the original creator Vedant Choudhary.
2025-12-28 14:42:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"Shoutout to the creator and maintainer of this project Vedant Choudhary.

The repo link: https://github.com/VedantC2307/ros2-mobile-sensor-bridge"
2025-12-28 14:38:09,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,Nithish Govindasamy ofc
2025-12-28 14:37:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,Prasanna Dara ofc.
2025-12-28 14:37:47,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"Enzo Ghisoni You have posted version 1 if this project, and that was really a game changer. Anywah good luck on trying it out."
2025-12-28 14:36:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"MD Tamim Sarkar I am pretty sure that it publishes the the angular velocity too, means gyroscope is in play right? And yup the 3D position doesn't worked in my IPhone too. But worked on my Android phone. Will update on these topics soon."
2025-12-28 14:35:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"Kosiso Agbachi Exactly, the setup is so simple and you can make it work in minutes."
2025-12-28 05:42:45,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"Estyak Ahamed Exactly, also these can be an alternate choice for IMU, GPS etc, and all in one package."
2025-12-28 04:47:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7409163534971928576,This is great. There is a RTABmap app that utilizes I phone's with lidar sensor to map the room. I remember when I was working with RTAB. Congrats 👏
2025-12-26 04:58:18,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A16518004-7409041207600984064,"It seems you have used a lot of wires hooking up the display to the Arduino. There is I2C module header for the LCD display which could do the same in just only 4 wires. I can't see anything like that in the video, so if you haven't tried it out yet, that would be a game changer."
2025-12-23 12:48:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,"Muhammad Afaq ofc, anytime."
2025-12-23 08:14:22,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,"Dr. Vishnu Rajan Exactly I screen recorded the SSH output which was laggy due to connectivity. Anyway the main thing to notice here is the efficiency, the same performance but using less GPU usage. 3 to 4 times more efficiency."
2025-12-23 05:24:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,"Dr. Vishnu Rajan Hello, so yup it certainly feels like that, cause I didn't got a monitor to directly show the output from jetson orin nano, so I X11 forwarded the display through SSH and the videos are shown like that cause of the connectivity. Its indeed running on the values shown the videos, cause I checked out with ros2 topic hz and its indeed around 30hz. And I Capped to 30FPS cause of the 30 framerate of the video being fed into the model. The Raw model actually runs at 300+FPS unlocked."
2025-12-23 05:20:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,"Muhammad Afaq 😊, ofcourse. So TensorRT utilizes the tensorCores in the chip and along with Cuda cores, and to be able to do that we need to convert the Pytorch model(.pth file) to tensorRT model(.engine file). I exported the oytorch model to an ONNX file first then used trtexec to convert them in the Jetson Orin nano itself. I have tried various Quantization (FP32, FP16, INT8 and also Pytorch(FP16). The sweet spot for me which I realized through running all of them would be the TensorRT FP16 model which balances out the accuracy, performance and efficiency really well, and still gives headroom for various other tasks. Mind it that this is still in pure python and ROS2 running on CPU. If we utilize IsaacROS on Cpp we could get this to even more efficiency."
2025-12-23 05:15:46,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,Sachin H. Thank you
2025-12-21 18:48:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,Ahmad Yar Will try it and will update soon
2025-12-21 18:17:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,"Ahmad Yar Yup, will soon try it out, but development is so fast in Python. But for optimization, for now I plan to use IsaacROS to accelerate using hardware. Will update soon"
2025-12-21 16:15:01,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,Nidhi N Thanks 😊
