Date/Time,Media Description,Media Link
"You uploaded a feed photo on December 29, 2025 at 6:07 AM (GMT)","Usually, my LinkedIn posts are full of High end Robotics?ROS nodes, simulations, and software stacks etc. 

But today is about the chaotic, wired-up reality of the hardware side.

POV: You just spent 3 hours on the floor bench-testing everything at once for a stack of parallel projects.

From ESP32s and stepper motors to cameras and water quality sensors (yes, that?s oil in the glass) and many more, I?m running a marathon of component testing. It?s funny how in robotics, you can?t just be a programmer. You have to be an electrician, a mechanic, and sometimes a plumber just to get the code to run.

Every new sensor is a new documentation page to read and a new bug to squash. It?s messy, it?s loud, and it?s arguably the best way to learn.

Back to debugging! ??

#Robotics #EmbeddedSystems #ESP32 #IoT #EngineeringLife #BehindTheScenes #Hardware #LearningEveryday",https://media.licdn.com/dms/image/v2/D5622AQHQollCbUcGag/feedshare-shrink_20/B56Ztot53gJcA0-/0/1766988648751?e=1770854400&v=beta&t=zvZqqdCGrQOMwscDJ8t6W_G_tyhMzXLosmK0rveNhC0
"You uploaded a feed photo on December 3, 2025 at 3:47 PM (GMT)","The best kind of mail day.

There is a specific kind of joy in receiving a box full of sensors, microcontrollers, and motors. It?s basically Lego for engineers, just with more Python scripts and deadlines.

We are proud to announce that our team has qualified for Stage 2 of e Yantra robotics competition (eYRC) 2025-26. Out of the many teams that started, we?ve made it to the Top 100 and earned this sponsored hardware kit from e-Yantra, IIT Bombay.

We?ve proved our code works in the virtual arena. Now comes the fun part: turning that code into movement.

Thanks a lot to Govind Krishna C, Sidharth Sajith, Tharun Oommen Jacob for being a part of the team, its a really wonderful experience working along with all of you.

Anyway time to crack this box open and get to work.

#eYRC #eYRC2024 #RoboticsCompetition #IITBombay #eYantra #Top100 #HardwareKit #Unboxing #Robotics #Makers #EngineeringLife #STEMEducation #TechForGood #FutureEngineers #Microcontrollers #Sensors #Automation #EmbeddedSystems #Innovation #ProjectUpdate #DeepLearning #Python #TechNews #StudentLife #Engineering #Motivation #BuildBetter #IoT #IndiaInnovation",
"You uploaded a feed photo on December 3, 2025 at 3:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQFcsucWx8SKgg/feedshare-shrink_20/B4DZrk5TX5GQAM-/0/1764776818496?e=1770854400&v=beta&t=p8rN1M0T6TNn-lZEXWzRo6yt4Q4I0FdW1wLwGdwFijc
"You uploaded a feed photo on December 3, 2025 at 3:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQEE00m7H1yX6w/feedshare-shrink_20/B4DZrk5TIXGsAM-/0/1764776817412?e=1770854400&v=beta&t=-IzzMkbi91R0bSMfTxw8IuNQYzvZx5N0fjNQOnqPkRM
"You uploaded a feed photo on December 3, 2025 at 3:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQHcNGMjRaVf8A/feedshare-shrink_800/B4DZrk5TOnG4Ag-/0/1764776817853?e=1770854400&v=beta&t=pjxpTszjg6P4XCM4o1BIscUC-0SI1ay899a67j9vN_8
"You uploaded a feed document on November 22, 2025 at 10:38 AM (GMT)","Research Paper Accepted at U R Rao Satellite Centre (URSC), ISRO Conference.

    I am really really excited to share that our research paper, ""Automating the Visual Inspection of Aircraft Structures Using 2D and 3D Computer Vision, Machine Learning, and Robotics,"" has been accepted and presented at the 14th National Seminar on Aerospace and Related Mechanisms (ARMS 2025).

    This work was a massive team effort led by Adithya Satheesh, co-authors Ranjitha G, Kartik Yadav, and guided by our mentor Augustin M.J. at CSIR - National Aerospace Laboratories (NAL).

    My contribution focused on laying the groundwork for the autonomous navigation stack:

        Architecting the initial ROS 2 framework on NVIDIA Jetson.

??????? Implementing the low-level hardware interface for the encoder-less UGV.

??????? Developing the foundational Visual-SLAM and sensor fusion approach that the team later refined to achieve the core application.

    ? Proud Moment: Receiving the Certification of Appreciation from U R Rao Satellite Centre (URSC), ISRO for my role as a co-author in this defense-grade research.

    A huge congratulations to the entire team for pushing this project across the finish line.

#Robotics #Research #ISRO #DRDO #ROS2 #ComputerVision #VSLAM #AutonomousSystems #Engineering #Innovation #CSIR #NAL #Teamwork #ResearchPaper #Publications #Conference #ARMS2025  ",https://media.licdn.com/dms/document/media/v2/D561FAQG42vFnw6rULA/feedshare-document-url-metadata-scrapper-pdf/B56ZqrJN5FG4A8-/0/1763807914269?e=1769576400&v=beta&t=uJNy4zTzLSaNj7SBJos7m6NrlxNyKVG6XogDHVZZQxE
"You uploaded a document on November 16, 2025 at 4:03 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQGuu0hPi_EFqg/profile-treasury-document-cover-images_1920/B56ZqK1L8FHkBM-/0/1763265791674?e=1769576400&v=beta&t=ghidDC24VLDwJfcjE41sWRraMO1wN2BsQtciVTj3vDA
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)","Stop scrolling if you are trying to learn ROS 2 ? I finally found the answer to the question that?s filled my DMs for months.

I've been on my own journey through ROS 2 Humble for a while now, and if you're a builder, you know the documentation alone can feel like navigating a maze. I was constantly asked: ""Where is the best video tutorial for a beginner?""

Well, after diving in myself, I have an answer: the ROS 2 Humble Tutorial Series on the official DigiKey YouTube channel, led by the brilliant Shawn Hymel.

This isn't just another quick recommendation?I?m currently halfway through the series where its now on C++ services section (that?s the 6th and latest video as of now), and I'm genuinely impressed. While there are other great resources out there, this series stands out for its clarity and depth.

What makes this series a game-changer (even for those who've started before):

? Dual-Language Superpower: Shawn teaches every core concept (Nodes, Topics, Services, etc.) first in Python and then immediately transitions to C++. This dual focus is a genuine lifesaver for grasping both the logic and the performance-critical application and helps in grasping quickly by comparing each other.

? The Clarity Factor: It successfully bridges the huge gap between the official ROS 2 documentation and practical, clean code. The presentation style gives clarity that I often felt was missing when I started, The documentation is great(I am someone who learned through that), still there are times that you feel like there should be some fillers in between to understand it much better and this bridges that too.

? Real-World Learning: Even using different distributions (I'm on Humble, Shawn is on Jazzy), the minor versioning issues we encounter (like a missing command) are, surprisingly, excellent training for real-world debugging. 

? More Than Just ROS 2: When you check the channel, you'll see this series is just one part of their wider, incredibly useful playlist?a true treasure trove of embedded systems content.

Its good if you have a little knowledge in programming to start, but even if that's a problem you can still bridge that gap using generative AI parallelly to learn nowadays with spending a little more time.

I'm incredibly excited to see what the next videos in the series cover, and I highly recommend this as the go-to video resource for anyone looking to build a career in robotics?whether you?re a beginner or need a solid foundation review.

Checkout the video series: https://bit.ly/49B0uqM

There are other great resources too, but personally this is a good one from me by experience. But thanks to other creators too for their valuable contents.

A huge thank you and shoutout to Shawn Hymel and the DigiKey team for pouring so much effort into creating this invaluable resource. 

#ROS2 #Robotics #EmbeddedSystems #CPP #Python #DigiKey #ShawnHymel #Learning #TechTutorial #Engineering #Automation #OpenSourceRobotics
#OpenRobotics",
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQENdd9YieT4yQ/feedshare-shrink_20/B56ZpVfA8NI8A0-/0/1762370790086?e=1770854400&v=beta&t=iF-8FzHxUzSA8Pvuy9G0CXyMn37-lI0v9fOdX1icbLw
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGYzRwnkBvsdQ/feedshare-shrink_1280/B56ZpVfA8EIYAs-/0/1762370787269?e=1770854400&v=beta&t=PjsuXqeEdxN_BZMrg9xydvvoU1XyW3TACe3joEzrz0A
