Challenge Date,IP Address,User Agent,Country,Challenge Type
Fri Jun 14 12:17:50 UTC 2024,103.153.105.200,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",Unknown,EMAIL_PIN_CHALLENGE
Fri Jun 14 12:18:26 UTC 2024,103.153.105.200,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",Unknown,EMAIL_PIN_CHALLENGE
Mon Jun 17 13:08:56 UTC 2024,103.147.209.196,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",Unknown,EMAIL_PIN_CHALLENGE
Mon Jun 17 13:09:26 UTC 2024,103.147.209.196,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",Unknown,EMAIL_PIN_CHALLENGE
Sat Apr 05 11:48:44 UTC 2025,2409:40f3:29:fb94:3563:872b:b1b5:9a6a,"Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.135 Mobile Safari/537.36 com.linkedin.android/196100 [LinkedInApp]/2.131.58",India,EMAIL_PIN_CHALLENGE
Sat Apr 05 11:49:00 UTC 2025,2409:40f3:29:fb94:3563:872b:b1b5:9a6a,"Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.135 Mobile Safari/537.36 com.linkedin.android/196100 [LinkedInApp]/2.131.58",India,EMAIL_PIN_CHALLENGE
Sat Apr 05 11:49:14 UTC 2025,2409:40f3:29:fb94:3563:872b:b1b5:9a6a,"Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.135 Mobile Safari/537.36 com.linkedin.android/196100 [LinkedInApp]/2.131.58",India,EMAIL_PIN_CHALLENGE
Sun Apr 20 18:57:16 UTC 2025,103.179.196.116,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,Unknown,EMAIL_PIN_CHALLENGE
Sun Apr 20 18:57:16 UTC 2025,103.179.196.116,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,Unknown,EMAIL_PIN_CHALLENGE
Sun Apr 20 18:57:35 UTC 2025,103.179.196.116,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,Unknown,EMAIL_PIN_CHALLENGE
Sun Apr 20 18:57:37 UTC 2025,103.179.196.116,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,Unknown,SSP_BLOCKING_CHALLENGE
Sun Apr 20 18:57:40 UTC 2025,103.179.196.116,"Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/135.0.7049.38 Mobile Safari/537.36 com.linkedin.android/196700 [LinkedInApp]/2.137.73",Unknown,SSP_BLOCKING_CHALLENGE
Sun Apr 20 18:57:42 UTC 2025,103.179.196.116,"Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/135.0.7049.38 Mobile Safari/537.36 com.linkedin.android/196700 [LinkedInApp]/2.137.73",Unknown,LINKEDIN_APP_CHALLENGE
Sun Apr 20 18:57:44 UTC 2025,103.179.196.116,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,Unknown,SSP_BLOCKING_CHALLENGE
Sun Oct 26 20:20:09 UTC 2025,2409:40f3:2018:e44e:c0c1:6b92:29fc:b646,Mozilla/5.0 (X11; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,India,SSP_BLOCKING_CHALLENGE
Sun Oct 26 20:20:17 UTC 2025,2409:40f3:2018:e44e:dccf:fbeb:cefa:1496,"Mozilla/5.0 (Linux; Android 15; SM-S911B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/141.0.7390.98 Mobile Safari/537.36 com.linkedin.android/202200 [LinkedInApp]/2.191.129",India,SSP_BLOCKING_CHALLENGE
Sun Oct 26 20:20:19 UTC 2025,2409:40f3:2018:e44e:dccf:fbeb:cefa:1496,"Mozilla/5.0 (Linux; Android 15; SM-S911B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/141.0.7390.98 Mobile Safari/537.36 com.linkedin.android/202200 [LinkedInApp]/2.191.129",India,LINKEDIN_APP_CHALLENGE
Sun Oct 26 20:20:20 UTC 2025,2409:40f3:2018:e44e:c0c1:6b92:29fc:b646,Mozilla/5.0 (X11; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,India,SSP_BLOCKING_CHALLENGE
Fri Nov 07 15:45:52 UTC 2025,103.151.189.98,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:142.0) Gecko/20100101 Firefox/142.0,Unknown,SSP_BLOCKING_CHALLENGE
Fri Nov 07 15:45:57 UTC 2025,2409:40f3:101d:9686:913:6461:445b:9182,"Mozilla/5.0 (Linux; Android 15; SM-S911B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/141.0.7390.122 Mobile Safari/537.36 com.linkedin.android/202200 [LinkedInApp]/2.191.129",India,SSP_BLOCKING_CHALLENGE
Fri Nov 07 15:45:59 UTC 2025,2409:40f3:101d:9686:913:6461:445b:9182,"Mozilla/5.0 (Linux; Android 15; SM-S911B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/141.0.7390.122 Mobile Safari/537.36 com.linkedin.android/202200 [LinkedInApp]/2.191.129",India,LINKEDIN_APP_CHALLENGE
Fri Nov 07 15:46:02 UTC 2025,103.151.189.98,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:142.0) Gecko/20100101 Firefox/142.0,Unknown,SSP_BLOCKING_CHALLENGE
